位置,公司名,公司行业,学历要求,经验要求,薪资,技能要求,职位
苏州·苏州工业园区·独墅湖,黑火石科技,计算机软件,大专,3-5年,10-15K,Unity3D|C/C++|游戏,Unity3d游戏开发工程师
北京·海淀区·苏州街,好天科技,互联网,本科,5-10年,15-30K·13薪,Unity3D|巨额分红|微信3d小游戏|游戏开发,unity游戏开发工程师
厦门·思明区·莲花,厦门麟燃网络科技,游戏,本科,3-5年,10-15K·13薪,Unity3D|C/C++|Java,高级游戏开发工程师
天津·西青区·张家窝,络捷斯特有限公司,互联网,本科,3-5年,12-20K,Unity3D|C/C++|C#|Unity3D开发经验|软件开发经验|VR/AR开发经验,unity3d游戏开发工程师(中高级)
福州·仓山区·金山,浩凡网络,互联网,大专,1年以内,4-6K,C#|Lua|手游开发经验|Unity3D开发经验,u3d游戏开发
广州·天河区·高唐,德科信息,计算机软件,本科,1-3年,11-20K,Unity3D|UE|游戏开发demo|接受优秀应届生,游戏开发【大厂/餐补/班车】
深圳·南山区·科技园,腾讯,互联网,本科,3-5年,20-40K·14薪,UE4|计算机/软件工程相关专业|游戏客户端开发经验|UE4开发经验|研发效能,游戏研发效能工程师
上海·徐汇区·漕河泾,腾讯,互联网,本科,3-5年,15-21K·14薪,计算机相关专业|SAFe|PMI-ACP,游戏研发项目管理
济宁·邹城市·东城区,山东弈之游网络科技,游戏,本科,1-3年,15-20K,Unity3D|C/C++|Cocos2d-x|手游开发经验,游戏开发工程师
成都·武侯区·新会展中心,博思杰,移动互联网,本科,1-3年,8-13K·13薪,TypeScript|Cocos Creator|Unity3D|游戏引擎|移动端|手游开发经验|小程序|计算机/软件工程相关专业|微信小游戏开发经验,cocos游戏开发工程师
北京·朝阳区·朝外,念动文化,广播/影视,本科,经验不限,12-24K,C/C++|Maya|UE4,蓝图UE5游戏开发工程师
郑州·中原区·高新区,亮点网络,游戏,大专,3-5年,7-12K,Cocos2d-X,Cocos2d-x游戏开发工程师
深圳·南山区·科技园,中软国际,计算机软件,大专,1-3年,12-15K,UE4|Unity3D|C/C++|UE4开发经验|游戏客户端开发经验,游戏开发
广州·天河区·小新塘,风云网络,游戏,大专,在校/应届,4-6K,移动端|小程序,游戏开发
黄山·屯溪区·人民医院,畅游科技,游戏,学历不限,经验不限,5-8K,游戏系统策划|游戏文案策划|游戏剧情策划|游戏关卡策划|游戏数值策划|玩法设计|手机游戏,游戏开发
成都·武侯区·紫荆,成都梓屿榕科技,计算机软件,本科,1-3年,25-30元/时,Java|C语言|Python|游戏引擎|游戏开发|手游开发|Android开发,游戏开发
大连·普兰店区·皮口,云网联动,游戏,大专,1-3年,6-10K,Cocos2d-x|Cocos Creator|JavaScript/TypeScript,cocos游戏开发
南宁·江南区·五一路,广西码胜软件,游戏,大专,1-3年,10-15K,Cocos2d-x|Lua|手游开发经验,cocos游戏开发
杭州·西湖区·西溪,炫玩网络,游戏,大专,1年以内,6-11K,Cocos2d-x|Cocos Creator|JavaScript/TypeScript|手游开发经验|微信小游戏开发经验|游戏客户端开发|cocos开发|小游戏H5,cocos游戏开发
北京·大兴区·亦庄,汇智众心,计算机软件,大专,5-10年,15-30K,游戏开发,游戏开发技术总监
杭州·滨江区·长河,网易游戏,游戏,本科,3-5年,25-50K·16薪,Unity3D|direct3D|OpenGL,游戏引擎开发工程师
青岛·崂山区·崂山国际会展中心,发掘者游戏,游戏,大专,1-3年,7-8K,游戏引擎|CocosCreator|laya Air|unity3D,研发unity3D游戏
西安·雁塔区·绿地世纪城,一晨元素,互联网,大专,经验不限,8-13K,Unity3D|兼职|外包,VR游戏开发制作
上海·徐汇区·漕河泾,北京字节跳动,互联网,本科,3-5年,30-60K·15薪,Unity3D|OpenGL|Unity3D开发经验|VR/AR开发经验,游戏引擎开发
深圳·南山区·科技园,心流文化,游戏,本科,5-10年,25-35K·13薪,C#|Unity3D|Lua|3D游戏客户端开发经验|计算机/软件工程相关专业|Unity3D开发经验,游戏高级U3D客户端开发
广州·海珠区·琶洲,腾讯,互联网,本科,5-10年,30-60K·15薪,C#|Unity3D开发经验,微信小游戏客户端（Unity方向）高级工程师
上海·普陀区·长寿路,椰岛游戏,游戏,本科,在校/应届,11-20K·14薪,游戏引擎|移动端,客户端技术研发工程师（校招）
南通,陌韵工作室,游戏,学历不限,1-3年,5-8K,Unity3D|C#|计算机/软件工程相关专业|Unity3D开发经验|Shader开发经验,untiy开发工程师
呼和浩特·玉泉区·南茶坊,策义集团,计算机软件,本科,3-5年,5-6K,游戏引擎|C#|Socket技术|网络协议,VR开发工程师
广州·天河区·天园,游雁游戏,游戏,本科,1年以内,7-10K·13薪,游戏引擎|C#|Lua|NGUI|UGUI,初级Unity3D开发工程师
西安·雁塔区·长延堡,舒迈科技,互联网,本科,5-10年,12-20K·13薪,游戏引擎|MVC开发|Web端|网络协议|移动端,U3D开发工程师
潍坊·奎文区·阳光100广场,云轩信息科技,计算机软件,大专,经验不限,5-8K,C#,前端开发工程师
南京·玄武区·徐庄软件园,南京先极科技有限公司,计算机软件,大专,1-3年,16-25K,3ds Max|C#|C++|游戏引擎|移动端,Unity 3D开发工程师
郑州,中懿游,游戏,本科,3-5年,15-20K,Unity3D|C#|Lua|3D游戏客户端开发经验|Unity3D开发经验|手游开发经验,资深unity开发工程师-主程
济南·天桥区·无影山,海信信息科技,计算机软件,本科,1-3年,12-15K,C#|Unity3D开发经验|计算机/软件工程相关专业|软件开发经验,数字孪生开发工程师
北京·西城区·展览路,柠檬微趣,游戏,本科,1-3年,20-40K·15薪,C#|C/C++|Unity3D|C++|U3D|逻辑功能开发|性能优化|Lua|手游开发经验|计算机/软件工程相关专业|Unity3D开发经验|工具开发,U3D客户端开发工程师
深圳·南山区·科技园,酷鱼科技,互联网,本科,1-3年,15-20K,cocos2dx|lua|cocoscreat|游戏开发|客户端开发,游戏客户端开发工程师
北京·海淀区·中关村,HUNGRY STUDIO,游戏,大专,3-5年,20-40K·13薪,游戏iOS开发|IOS开发|商业化变现,游戏IOS开发工程师
长春·朝阳区·高新开发区,漫屿传媒,社交网络与媒体,大专,3-5年,8-12K,PC端|数据库开发|游戏|Java|C语言|游戏开发 |Redis,游戏服务器开发工程师
